unit_price,avg_comp_price,price_premium,price_vs_comp1,price_vs_comp2,price_vs_comp3,is_anomaly
160.6692308,167.07948720000002,0.9616334924925481,0.0,0.0,-19.230769199999997,False
148.7785714,154.04238093333333,0.9658288225523377,0.0,0.0,-15.791428599999989,False
134.9,167.43,0.8057098488920743,0.0,0.0,-97.59,False
133.0,138.47777776666666,0.9604429110936727,0.0,25.0,-41.43333329999999,False
149.0,147.65333333333334,1.0091204623442298,0.0,41.0,-36.96000000000001,False
128.2416667,139.4138889,0.9198629183351044,0.0,20.241666699999996,-53.758333300000004,False
117.4412903,124.98752830000001,0.9396240720763177,0.0,11.798433200000005,-34.437147199999984,False
105.648625,120.26065276666667,0.8784970193449942,0.0,0.6486249999999956,-44.48470830000001,False
103.7925234,113.77459113333333,0.9122645255509179,0.0,-1.2074766000000068,-28.738726600000007,False
119.0,120.74000000000001,0.9855888686433658,0.0,14.0,-19.22,False
118.3636364,126.12121213333334,0.9384911102413751,0.0,13.363636400000004,-36.636363599999996,False
112.0,120.85030303333333,0.9267663976738874,0.0,7.0,-33.55090910000001,False
29.5,52.99666666666667,0.5566387823133531,-70.49,0.0,0.0,False
29.5,86.49333333333334,0.34106674888238014,-70.49,-100.49000000000001,0.0,False
35.0,88.32666666666667,0.39625632123179105,-64.99,-94.99000000000001,0.0,False
35.0,84.95111111,0.41200167417092187,-54.86333333,-94.99000000000001,0.0,False
35.0,35.0,1.0,0.0,0.0,0.0,False
65.0,65.0,1.0,0.0,0.0,0.0,False
65.0,65.0,1.0,0.0,0.0,0.0,False
142.5,113.99666666666667,1.2500365507763385,85.50999999999999,0.0,0.0,False
142.5,113.99666666666667,1.2500365507763385,85.50999999999999,0.0,0.0,False
142.5,113.99666666666667,1.2500365507763385,85.50999999999999,0.0,0.0,False
118.05,97.69666666666666,1.208331911699478,61.059999999999995,0.0,0.0,False
118.0,97.66333333333334,1.208232362879279,61.01,0.0,0.0,False
117.9,97.59666666666668,1.2080330612384302,60.910000000000004,0.0,0.0,False
117.8888889,97.58925926666666,1.2080108998251926,60.898888899999996,0.0,0.0,False
117.7,95.29666666666667,1.235090419392074,67.21000000000001,0.0,0.0,False
117.975,95.31333333333333,1.23775966986081,67.98499999999999,0.0,0.0,False
119.9,119.90000000000002,0.9999999999999999,0.0,0.0,0.0,False
119.1785714,119.1785714,1.0,0.0,0.0,0.0,False
118.7,95.79666666666667,1.2390827794982429,68.71000000000001,0.0,0.0,False
116.9066667,94.60111113333333,1.2357853443732667,66.91666670000001,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
116.9275,111.28166666666665,1.0507346223546856,16.9375,0.0,0.0,False
119.99,113.32333333333332,1.0588287201811926,20.0,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,86.49333333333334,1.5028903961769693,30.000000000000014,0.0,100.49000000000001,False
129.99,119.99000000000001,1.0833402783565298,30.000000000000014,0.0,0.0,False
129.99,88.32666666666667,1.471695977054872,30.000000000000014,0.0,94.99000000000001,False
129.99,84.95111111,1.530174217870804,40.126666670000006,0.0,94.99000000000001,False
94.9,94.90000000000002,0.9999999999999999,0.0,0.0,0.0,False
100.9,120.59666666666665,0.8366732082147104,-59.09,0.0,0.0,False
109.9,119.93,0.9163678812640706,-30.090000000000003,0.0,0.0,False
109.9,121.8347619,0.902041406624196,-35.80428570000001,0.0,0.0,False
98.9,116.59666666666668,0.8482232196460733,-53.09,0.0,0.0,False
98.9,117.49862746666668,0.8417119598103991,-55.79588239999998,0.0,0.0,False
98.9,119.59666666666668,0.8269461244739262,-51.09,0.0,-11.0,False
98.9,119.59666666666668,0.8269461244739262,-51.09,0.0,-11.0,False
90.534,134.8361323,0.6714372361153821,-65.97735139999999,-59.820545499999994,-7.108499999999992,False
84.75608696,125.87076023333333,0.6733580285276989,-64.24391304,-65.14391304,6.043806260000011,False
87.5,122.35559004666668,0.7151287486466888,-48.642857099999986,-62.400000000000006,6.4760869600000035,False
94.0,117.16324785666666,0.8022993704902773,-26.923076899999998,-55.900000000000006,13.333333330000002,False
73.0,114.43038459999998,0.6379424508200072,-41.491153800000006,-76.9,-5.900000000000006,False
66.34214286,115.92999999999999,0.5722603541792461,-53.64785714,-83.55785714000001,-11.55785714000001,False
